,Frame#,Time,AlejandroMask:HeadTopX7,AlejandroMask:HeadTopY7,AlejandroMask:HeadTopZ7,AlejandroMask:HeadFrontX5,AlejandroMask:HeadFrontY5,AlejandroMask:HeadFrontZ5,HeadFront5MAG,AlejandroMask:LP1X46,LHandMaxPosY,LHandPosXMean,LHandPosYMean,LHandPosZMean,RHandPosXMean,RHandPosYMean,RHandPosZMean,BothHandMaxPosY,LHandVelocity,RHandVelocity,HeadMaxPosY,HeadVelocity,HeadPosXMean,HeadPosYMean,DistanceChestToLeftArm,DistanceChestToRightArm,DistanceChestToArmsMax,ShoulderVelocity
24,28,0.233333,0.189173,1.71646,0.337644,0.143826,1.73053,0.483369,0.000206518764281,0.33452,0.780754,0.7325801,0.7197399,0.6053907,-0.0736575,0.7325801,0.5224911,0.796934,0.000729990410896,0.000301398407428,1.73053,0.000206518764281,0.1325836,1.1329352,0.828588629743,0.580092253148,0.828588629743,0.000149606149606
25,29,0.241667,0.189141,1.71648,0.337823,0.143841,1.73051,0.483574,0.000218165075115,0.335034,0.780487,0.7325961,0.719567,0.6051254,-0.0734383,0.7325961,0.5226297,0.79698,0.000698562094591,0.00030103986447,1.73051,0.000218165075115,0.1325686,1.1329374,0.828682324818,0.579966989561,0.828682324818,0.000145413204352
26,30,0.25,0.1891,1.7165,0.338,0.143871,1.73048,0.483788,0.000211518320719,0.335562,0.780266,0.73261,0.7193934,0.6048834,-0.0732049,0.73261,0.5227743,0.797029,0.00072810438812,0.000324515022765,1.73048,0.000211518320719,0.1325542,1.1329402,0.828778095038,0.579850709546,0.828778095038,0.000149485785277
27,31,0.258333,0.189063,1.71652,0.338188,0.143895,1.73045,0.483996,0.000211456851391,0.336122,0.78003,0.7326374,0.7192056,0.6046489,-0.0729698,0.7326374,0.5229159,0.797078,0.000724161584179,0.000325024614452,1.73045,0.000211456851391,0.1325378,1.1329432,0.828899129976,0.579719002044,0.828899129976,0.000145588461081
28,32,0.266667,0.189015,1.71654,0.338362,0.143928,1.73041,0.484201,0.0002080889233,0.336773,0.779801,0.7326614,0.7190467,0.6044014,-0.0727138,0.7326614,0.5230586,0.79713,0.000827653913179,0.000321362723414,1.73041,0.0002080889233,0.132522,1.132944,0.828995502636,0.579584333841,0.828995502636,0.000160190511579
29,33,0.275,0.188971,1.71656,0.338545,0.143948,1.73036,0.484402,0.00020548722588,0.337237,0.779553,0.7326722,0.718878,0.6041754,-0.0724689,0.7326722,0.5231952,0.797147,0.000700511955644,0.000366649696577,1.73036,0.000209840415554,0.1325052,1.1329374,0.82908380362,0.579456725329,0.82908380362,0.000164596476268
30,34,0.283333,0.188923,1.71659,0.338721,0.143973,1.73032,0.484602,0.000206622844816,0.337741,0.779326,0.7326786,0.7187424,0.6039583,-0.0722116,0.7326786,0.5233327,0.797177,0.000657162080464,0.000358739459775,1.73032,0.000214774300139,0.1324896,1.132937,0.829146611507,0.579329476004,0.829146611507,0.000170205757834
31,35,0.291667,0.188878,1.71662,0.338904,0.14399,1.73028,0.484804,0.000199729817503,0.33831,0.779132,0.7326857,0.7185983,0.6037537,-0.0719696,0.7326857,0.5234943,0.797216,0.000644721645363,0.000312910530344,1.73028,0.000216171228428,0.1324718,1.1329382,0.829226389171,0.579214155858,0.829226389171,0.000160913019983
32,36,0.3,0.188825,1.71663,0.339069,0.144014,1.73025,0.485,0.000193538109942,0.338722,0.778929,0.7326991,0.7184506,0.6035409,-0.0717303,0.7326991,0.5236462,0.797256,0.000646504447007,0.000326744548539,1.73025,0.000208662406772,0.1324542,1.1329374,0.829310426046,0.579095265143,0.829310426046,0.000167585798921
33,37,0.308333,0.188783,1.71665,0.339237,0.144038,1.73023,0.485191,0.00018564751547,0.339204,0.778753,0.7327131,0.7183248,0.6033424,-0.0715017,0.7327131,0.5237879,0.797292,0.000606070952942,0.000304581680342,1.73023,0.000204785253375,0.1324374,1.1329464,0.829386822153,0.578977313977,0.829386822153,0.000164745257898
